DUIDg,yyyymm,DUID,mw_le0,mw_le300,mw_le1000,avail,top2,pct_iv_zero_cheap,pct_iv_full_cheap,d_t,n_dir,ess_n0,ess_n1,gas_gj,srmc
PPCCGT,202201,PPCCGT,173.358086917563,243.658602150538,243.658602150538,243.69914874552,0.0405465949820789,35.9,62.6,149,0,0,2,10.17,78.8495
PPCCGT,202202,PPCCGT,204.106150793651,287.706969246032,287.706969246032,287.760540674603,0.0535714285714286,28.3,70.2,134,0,0,10,10.17,78.8495
PPCCGT,202203,PPCCGT,198.639784946237,280.177867383513,280.177867383513,280.78853046595,0.610663082437276,30.8,68.2,121,0,1,20,10.17,78.8495
PPCCGT,202204,PPCCGT,0,0,0,0,0,100,0,157,0,0,0,29.85,223.4975
PPCCGT,202205,PPCCGT,148.151097670251,167.707773297491,188.577508960573,197.691196236559,1.60909498207885,45.1,50.6,253,0,0,2,29.85,223.4975
PPCCGT,202206,PPCCGT,202.224421296296,218.936574074074,282.234143518519,381.416319444444,98.4863425925926,35.1,63.2,,0,1,7,29.85,223.4975
PPCCGT,202207,PPCCGT,253.687948028674,263.861559139785,348.753024193548,351.48689516129,0.386648745519713,18.8,78.9,350,0,0,0,27.29,204.6815
PPCCGT,202208,PPCCGT,106.287522401434,148.122983870968,148.199932795699,148.267137096774,0.0672043010752688,39.7,58.4,378,0,0,1,27.29,204.6815
PPCCGT,202209,PPCCGT,102.612037037037,142.890972222222,142.890972222222,146.421759259259,3.45300925925926,41.1,57,365,1,0,1,27.29,204.6815
PPCCGT,202210,PPCCGT,108.480062724014,153.0479390681,153.637992831541,153.637992831541,0,36.2,61.4,351,0,0,2,18.59,140.7365
PPCCGT,202211,PPCCGT,152.876388888889,212.571296296296,213.043171296296,213.277777777778,0.234606481481482,39.6,57.6,346,0,0,1,18.59,140.7365
PPCCGT,202212,PPCCGT,93.596438172043,131.038306451613,131.038306451613,131.106630824373,0.0683243727598566,59.5,37.8,334,0,0,2,18.59,140.7365
PPCCGT,202301,PPCCGT,150.573028673835,210.543682795699,210.543682795699,210.54502688172,0.00134408602150538,45.4,53.1,326,0,0,7,12.59,96.6365
PPCCGT,202302,PPCCGT,157.761780753968,220.651661706349,220.651661706349,221.783358134921,1.13169642857143,38.8,59,328,1,0,12,12.59,96.6365
PPCCGT,202303,PPCCGT,208.605062724014,289.966285842294,289.966285842294,290.073364695341,0.107078853046595,28.4,69.5,329,0,0,3,12.59,96.6365
PPCCGT,202304,PPCCGT,181.26099537037,249.124652777778,249.124652777778,249.538888888889,0.414236111111111,30.1,67.6,328,2,0,2,15.18,115.673
PPCCGT,202305,PPCCGT,269.988575268817,374.428875448029,374.428875448029,376.200492831541,1.77161738351254,16.5,82.5,323,1,0,1,15.18,115.673
PPCCGT,202306,PPCCGT,169.653472222222,233.974074074074,236.746296296296,236.954513888889,0.208217592592593,36.9,61.4,298,0,0,1,15.18,115.673
PPCCGT,202307,PPCCGT,197.53416218638,272.960461469534,272.960461469534,273.176859318996,0.216397849462366,36.3,61.6,249,2,0,6,10.8,83.48
PPCCGT,202308,PPCCGT,246.848566308244,342.415098566308,342.672491039427,342.976926523298,0.304435483870968,19.3,79.1,230,0,0,3,10.8,83.48
PPCCGT,202309,PPCCGT,152.693981481481,212.383564814815,212.383564814815,212.692361111111,0.308796296296296,42,55.4,221,1,0,1,10.8,83.48
PPCCGT,202310,PPCCGT,109.581989247312,152.681115591398,152.681115591398,153.167338709677,0.48622311827957,54.8,43.1,193,2,3,12,11.23,86.6405
PPCCGT,202311,PPCCGT,137.899537037037,192.010185185185,192.010185185185,192.329976851852,0.319791666666667,47.2,50.5,187,1,0,5,11.23,86.6405
PPCCGT,202312,PPCCGT,111.978158602151,156.432571684588,156.432571684588,156.536178315412,0.103606630824373,54.7,42.5,180,0,0,0,11.23,86.6405
PPCCGT,202401,PPCCGT,113.939292114695,147.806787634409,160.090165770609,160.253472222222,0.146505376344086,50.5,47.1,179,1,0,0,11.65,89.7275
PPCCGT,202402,PPCCGT,108.271072796935,140.419061302682,151.807710727969,151.970665708812,0.162954980842912,54.2,43.5,179,0,0,0,11.65,89.7275
PPCCGT,202403,PPCCGT,123.124439964158,162.353494623656,171.075268817204,173.770273297491,2.69500448028674,43.7,53.9,179,4,1,1,11.65,89.7275
PPCCGT,202404,PPCCGT,195.403819444444,254.742361111111,256.403472222222,272.665393518519,1.27337962962963,31.8,65.8,179,2,0,3,13.86,105.971
PPCCGT,202405,PPCCGT,249.517025089606,339.926075268817,339.926075268817,347.069332437276,1.74148745519713,19.7,78.6,176,0,0,0,13.86,105.971
PPCCGT,202406,PPCCGT,267.51712962963,363.133564814815,364.228009259259,370.595833333333,0.524537037037037,12.5,86.5,178,0,0,1,13.86,105.971
PPCCGT,202407,PPCCGT,186.929995519713,235.506272401434,238.704637096774,260.805107526882,20.504144265233,31,67.1,216,0,0,0,12.78,98.033
PPCCGT,202408,PPCCGT,125.448812724014,160.060819892473,161.783938172043,174.18021953405,12.34520609319,52.8,44.2,222,1,0,0,12.78,98.033
PPCCGT,202409,PPCCGT,31.0209490740741,40.6071759259259,40.6071759259259,40.6071759259259,0,81.9,16.3,220,1,0,0,12.78,98.033
PPCCGT,202410,PPCCGT,39.8555107526882,52.7156137992832,52.7156137992832,53.9562051971326,1.24059139784946,76.9,20.9,222,3,0,3,13.55,103.6925
PPCCGT,202411,PPCCGT,78.49375,134.187152777778,134.187152777778,136.213773148148,2.02662037037037,49.4,41.7,223,0,0,5,13.55,103.6925
PPCCGT,202412,PPCCGT,39.8085797491039,107.384184587814,107.384184587814,116.160954301075,8.77676971326165,59.3,38.7,225,6,0,0,13.55,103.6925
TORR,202201,TORRB2,5.85887096774194,11.4469086021505,13.2110215053763,22.0900537634409,8.87903225806452,88.7,3.1,149,1,0,17,10.17,103.5898
TORR,202201,TORRB3,19.8131720430108,39.8850806451613,50.9317876344086,95.7533602150538,44.8215725806452,63.2,12.4,149,9,0,17,10.17,103.5898
TORR,202201,TORRB4,11.8951612903226,23.3716397849462,29.0302419354839,56.3602150537635,27.3299731182796,77.6,6,149,12,0,17,10.17,103.5898
TORR,202202,TORRB2,6.89732142857143,12.1986607142857,15.2380952380952,27.4404761904762,12.202380952381,87.8,2.2,134,2,1,18,10.17,103.5898
TORR,202202,TORRB3,19.2946428571429,35.9613095238095,47.7931547619048,81.9802827380953,34.1871279761905,64.4,9.6,134,17,1,18,10.17,103.5898
TORR,202202,TORRB4,5.65141369047619,11.2317708333333,13.9401041666667,33.5209573412698,19.5808531746032,89.1,2.8,134,13,1,18,10.17,103.5898
TORR,202203,TORRB2,17.6095430107527,30.3985215053763,49.9717741935484,72.9605734767025,22.9887992831541,67.7,7.8,121,6,5,22,10.17,103.5898
TORR,202203,TORRB3,14.4818548387097,27.2331989247312,44.6646505376344,67.1850358422939,22.5203853046595,73,7.6,121,11,5,22,10.17,103.5898
TORR,202203,TORRB4,5.95833333333333,10.9415322580645,16.9798387096774,27.3405017921147,10.3606630824373,88.4,2.6,121,9,5,22,10.17,103.5898
TORR,202204,TORRB2,18.6736111111111,43.3743055555556,58.85,74.0034722222222,15.1534722222222,64.5,14.6,157,5,0,14,29.85,299.209
TORR,202204,TORRB3,28.1527777777778,69.1597222222222,79.9930555555556,111.315972222222,31.3229166666667,46,26.7,157,3,0,14,29.85,299.209
TORR,202204,TORRB4,26.5443287037037,69.1283564814815,78.3512731481482,108.574768518519,30.2234953703704,48.1,26.6,157,8,0,14,29.85,299.209
TORR,202205,TORRB2,19.3440860215054,20.8729838709677,49.0866935483871,77.0813172043011,27.994623655914,61.6,1.1,253,8,1,10,29.85,299.209
TORR,202205,TORRB3,19.8118279569893,59.8924731182796,60.0134408602151,76.2903225806452,16.2768817204301,61.3,27,253,0,1,10,29.85,299.209
TORR,202205,TORRB4,31.8817204301075,72.5806451612903,89.7728494623656,128.793682795699,39.0208333333333,37.2,27.1,253,6,1,10,29.85,299.209
